id;Klient;Kwota;Pracownik;Czas
1;509;3,37;3;2017-08-22 12:53
2;585;2,81;2;2017-08-22 14:26
3;55;1,15;2;2017-08-22 15:43
4;320;1,03;1;2017-08-22 16:39
5;551;1,96;1;2017-08-22 16:49
6;393;1,93;3;2017-08-22 17:51
7;368;1,78;3;2017-08-22 18:18
8;195;0,08;3;2017-08-22 18:32
9;572;3,2;3;2017-08-22 18:38
10;95;2,9;3;2017-08-22 19:56
11;418;2,01;2;2017-08-22 19:59
12;557;0,6;2;2017-08-22 20:57
13;112;1,8;3;2017-08-22 22:25
14;492;0,74;2;2017-08-22 23:53
15;361;2,01;3;2017-08-23 00:29
16;423;1,68;2;2017-08-23 01:05
17;164;2,62;1;2017-08-23 02:00
18;190;0,86;2;2017-08-23 02:03
19;612;0,85;2;2017-08-23 02:23
20;555;0,53;1;2017-08-23 02:40
21;607;2,69;2;2017-08-23 04:09
22;477;2,67;3;2017-08-23 05:11
23;469;0,58;1;2017-08-23 05:34
24;59;1,13;2;2017-08-23 06:15
25;547;2,87;3;2017-08-23 06:40
26;215;1,62;2;2017-08-23 07:50
27;274;1,25;3;2017-08-23 08:14
28;267;0,61;1;2017-08-23 09:12
29;245;0,5;3;2017-08-23 09:59
30;542;3,41;2;2017-08-23 11:32
31;577;0,1;2;2017-08-23 12:31
32;638;0,82;1;2017-08-23 13:51
33;613;3,35;2;2017-08-23 13:58
34;188;1,66;1;2017-08-23 15:21
35;313;1,42;1;2017-08-23 16:47
36;407;2,67;1;2017-08-23 17:45
37;557;0,37;2;2017-08-23 19:08
38;488;0,45;2;2017-08-23 20:19
39;232;1,4;1;2017-08-23 21:46
40;288;0,84;2;2017-08-23 22:45
41;155;2,04;2;2017-08-24 00:18
42;460;0,73;2;2017-08-24 00:22
43;48;1,76;2;2017-08-24 00:38
44;132;0,03;3;2017-08-24 01:05
45;133;0,5;1;2017-08-24 02:11
46;288;2,83;3;2017-08-24 02:52
47;71;0,92;2;2017-08-24 04:02
48;449;1,88;2;2017-08-24 05:07
49;195;3,01;3;2017-08-24 05:55
50;122;2,74;2;2017-08-24 06:46
51;677;2;2;2017-08-24 07:46
52;247;0,84;1;2017-08-24 08:41
53;232;2,73;3;2017-08-24 08:41
54;442;0,41;2;2017-08-24 10:02
55;300;0,78;3;2017-08-24 11:07
56;243;0,81;2;2017-08-24 12:05
57;296;1,53;3;2017-08-24 13:13
58;509;0,93;1;2017-08-24 13:54
59;265;1,1;1;2017-08-24 14:46
60;159;3,15;3;2017-08-24 15:13
61;285;1,11;1;2017-08-24 16:27
62;571;0,3;2;2017-08-24 17:17
63;330;1,38;2;2017-08-24 18:44
64;177;0,82;2;2017-08-24 18:53
65;207;3,29;2;2017-08-24 19:18
66;470;1,58;3;2017-08-24 20:15
67;297;3,37;3;2017-08-24 21:11
68;324;2,81;2;2017-08-24 21:51
69;7;0,08;3;2017-08-24 22:53
70;195;3,35;3;2017-08-24 23:54
71;100;3,38;3;2017-08-25 00:44
72;493;0,59;2;2017-08-25 02:00
73;487;0,41;1;2017-08-25 02:13
74;166;1,73;1;2017-08-25 02:51
75;542;2,49;1;2017-08-25 04:11
76;169;1,7;3;2017-08-25 05:11
77;595;1,42;2;2017-08-25 06:37
78;488;2,98;2;2017-08-25 08:08
79;485;3,32;2;2017-08-25 09:35
80;475;0,4;2;2017-08-25 09:47
81;547;1,4;2;2017-08-25 11:20
82;637;2,74;1;2017-08-25 12:52
83;421;3,34;2;2017-08-25 14:19
84;537;2,76;1;2017-08-25 14:38
85;8;3,14;1;2017-08-25 16:00
86;541;2,98;3;2017-08-25 16:47
87;85;0,03;3;2017-08-25 18:00
88;395;1,03;3;2017-08-25 19:01
89;591;3,05;2;2017-08-25 19:08
90;301;0,89;3;2017-08-25 19:37
91;126;2,17;2;2017-08-25 20:59
92;629;3,36;3;2017-08-25 22:19
93;2;2,09;2;2017-08-25 22:49
94;446;0,54;3;2017-08-25 23:52
95;641;1,98;1;2017-08-25 23:53
96;349;2,89;3;2017-08-26 00:15
97;328;2,83;1;2017-08-26 00:18
98;98;0,49;1;2017-08-26 01:00
99;540;1,76;3;2017-08-26 02:12
100;189;2,64;3;2017-08-26 03:45
101;269;2,03;2;2017-08-26 05:02
102;79;2,99;1;2017-08-26 06:17
103;124;1,97;1;2017-08-26 06:37
104;29;3,31;1;2017-08-26 06:59
105;23;2,48;3;2017-08-26 08:28
106;78;2,48;3;2017-08-26 09:17
107;180;0,77;2;2017-08-26 09:34
108;413;0,89;3;2017-08-26 09:59
109;137;0,03;2;2017-08-26 10:32
110;404;1,24;3;2017-08-26 10:48
111;85;0,89;2;2017-08-26 10:59
112;510;0,73;1;2017-08-26 11:13
113;164;3,21;2;2017-08-26 11:42
114;66;3,25;2;2017-08-26 12:25
115;539;3,1;2;2017-08-26 13:57
116;444;2,37;3;2017-08-26 14:06
117;339;3,36;1;2017-08-26 14:53
118;305;1,23;2;2017-08-26 15:11
119;305;2,62;2;2017-08-26 15:42
120;525;1,12;2;2017-08-26 15:57
121;381;2,93;1;2017-08-26 17:13
122;489;1,76;1;2017-08-26 17:23
123;304;2,42;3;2017-08-26 18:39
124;363;1,63;1;2017-08-26 19:45
125;293;0,56;2;2017-08-26 20:22
126;354;0,15;2;2017-08-26 21:52
127;665;0,43;3;2017-08-26 22:38
128;211;2,54;2;2017-08-26 22:40
129;11;2,36;1;2017-08-26 22:47
130;687;1,46;2;2017-08-26 23:58
131;260;1,19;3;2017-08-27 00:27
132;413;0,75;1;2017-08-27 00:44
133;214;0,85;2;2017-08-27 01:34
134;366;1,51;3;2017-08-27 02:11
135;42;3,14;3;2017-08-27 03:13
136;369;1,72;1;2017-08-27 03:38
137;157;2,97;3;2017-08-27 04:45
138;76;1,62;3;2017-08-27 05:37
139;295;0,22;2;2017-08-27 06:31
140;55;1,61;1;2017-08-27 07:03
141;438;2,49;3;2017-08-27 07:50
142;609;1,32;3;2017-08-27 08:26
143;574;1,48;2;2017-08-27 09:59
144;445;0,44;1;2017-08-27 10:47
145;534;2,32;1;2017-08-27 12:14
146;346;2,04;3;2017-08-27 13:12
147;492;0,13;3;2017-08-27 13:17
148;537;0,65;1;2017-08-27 14:33
149;71;1,4;1;2017-08-27 14:52
150;401;2,64;1;2017-08-27 15:35
151;17;1,33;3;2017-08-27 16:23
152;512;0,18;3;2017-08-27 17:02
153;240;3,4;1;2017-08-27 17:17
154;276;0,33;2;2017-08-27 17:54
155;191;2,35;2;2017-08-27 18:57
156;609;1,51;3;2017-08-27 19:09
157;388;2,06;3;2017-08-27 19:21
158;248;2,4;1;2017-08-27 20:45
159;143;0,28;2;2017-08-27 21:55
160;666;0,22;1;2017-08-27 22:26
161;613;1,2;3;2017-08-27 23:00
162;189;0,6;1;2017-08-28 00:29
163;447;1,51;2;2017-08-28 00:56
164;157;1,32;3;2017-08-28 01:24
165;222;0,99;2;2017-08-28 02:39
166;686;0,21;1;2017-08-28 02:49
167;420;0,83;1;2017-08-28 03:43
168;389;0,91;1;2017-08-28 05:11
169;75;1,99;2;2017-08-28 06:32
170;46;3,38;2;2017-08-28 06:54
171;152;2,73;2;2017-08-28 07:24
172;367;1,92;1;2017-08-28 07:37
173;109;0,64;1;2017-08-28 08:56
174;603;2,82;2;2017-08-28 10:16
175;24;0,82;2;2017-08-28 10:53
176;649;2,07;2;2017-08-28 11:16
177;499;1,96;1;2017-08-28 12:35
178;398;0,38;1;2017-08-28 12:58
179;356;2,6;1;2017-08-28 13:59
180;376;2,24;2;2017-08-28 14:02
181;200;0,08;3;2017-08-28 14:35
182;482;0,45;2;2017-08-28 15:13
183;371;1,91;3;2017-08-28 15:22
184;7;1,05;2;2017-08-28 16:45
185;418;0,77;1;2017-08-28 17:38
186;486;2,37;1;2017-08-28 19:04
187;16;0,45;1;2017-08-28 19:43
188;222;2,31;1;2017-08-28 20:56
189;497;1,46;2;2017-08-28 21:33
190;395;0,85;3;2017-08-28 22:47
191;119;2,51;2;2017-08-28 23:51
192;577;0,3;3;2017-08-29 00:32
193;636;2,86;3;2017-08-29 01:51
194;437;0,57;2;2017-08-29 03:22
195;542;2,49;1;2017-08-29 04:28
196;124;2,34;1;2017-08-29 04:29
197;138;0,06;1;2017-08-29 05:55
198;136;0,75;1;2017-08-29 06:27
199;322;0,03;2;2017-08-29 07:11
200;441;2,31;2;2017-08-29 08:12
201;498;3,03;3;2017-08-29 09:29
202;411;2,86;2;2017-08-29 10:10
203;556;3,29;3;2017-08-29 10:12
204;534;2,59;2;2017-08-29 10:19
205;308;2,75;1;2017-08-29 10:42
206;8;2,36;1;2017-08-29 12:01
207;77;1,61;2;2017-08-29 12:55
208;446;1,25;1;2017-08-29 14:09
209;660;0,13;1;2017-08-29 14:46
210;482;1,44;1;2017-08-29 16:17
211;110;0,82;3;2017-08-29 17:30
212;376;0,64;2;2017-08-29 17:34
213;652;3,27;2;2017-08-29 17:59
214;316;2,67;2;2017-08-29 18:48
215;619;3,37;1;2017-08-29 20:11
216;388;3,2;1;2017-08-29 20:16
217;241;1,71;1;2017-08-29 20:42
218;576;2,76;3;2017-08-29 21:09
219;454;1,44;3;2017-08-29 21:13
220;92;2,61;1;2017-08-29 22:03
221;292;0,1;3;2017-08-29 22:06
222;32;2,74;2;2017-08-29 23:28
223;232;1,96;2;2017-08-29 23:46
224;436;2,84;2;2017-08-30 00:06
225;530;2,17;3;2017-08-30 01:07
226;177;2,71;1;2017-08-30 01:54
227;64;1,86;3;2017-08-30 02:01
228;488;1,66;2;2017-08-30 03:27
229;652;3,32;3;2017-08-30 04:36
230;182;1,65;3;2017-08-30 04:42
231;688;2,75;2;2017-08-30 05:34
232;176;1,76;1;2017-08-30 06:53
233;368;2,55;2;2017-08-30 08:09
234;591;2,29;1;2017-08-30 08:15
235;508;1,97;3;2017-08-30 09:31
236;601;1,24;3;2017-08-30 09:38
237;675;2,11;2;2017-08-30 11:06
238;62;3,04;3;2017-08-30 12:17
239;480;0,86;1;2017-08-30 13:19
240;591;3,32;2;2017-08-30 14:42
241;474;3,24;1;2017-08-30 14:43
242;143;2,31;2;2017-08-30 15:33
243;371;2,02;3;2017-08-30 16:26
244;93;2,08;1;2017-08-30 16:35
245;327;0,77;2;2017-08-30 17:19
246;172;2,93;1;2017-08-30 18:33
247;140;2,69;3;2017-08-30 19:52
248;568;2,37;2;2017-08-30 20:19
249;464;3,4;3;2017-08-30 20:50
250;568;0,4;1;2017-08-30 21:48
251;265;2,07;3;2017-08-30 22:37
252;63;1,34;3;2017-08-30 23:02
253;411;2,64;3;2017-08-31 00:15
254;576;2,11;1;2017-08-31 00:40
255;361;0,44;1;2017-08-31 00:50
256;687;0,15;3;2017-08-31 01:11
257;396;0,47;1;2017-08-31 01:26
258;13;1,58;2;2017-08-31 03:00
259;651;3,36;1;2017-08-31 04:15
260;593;0,95;1;2017-08-31 05:34
261;476;0,82;3;2017-08-31 06:01
262;411;1,81;2;2017-08-31 06:36
263;179;2,09;3;2017-08-31 08:03
264;481;1,06;2;2017-08-31 09:12
265;513;2,89;3;2017-08-31 10:05
266;143;0,1;1;2017-08-31 10:47
267;303;0,55;2;2017-08-31 11:36
268;633;1,45;2;2017-08-31 12:40
269;110;2,29;3;2017-08-31 13:55
270;188;2,83;1;2017-08-31 15:19
271;349;1,74;3;2017-08-31 16:26
272;268;2,52;2;2017-08-31 16:31
273;532;0,51;1;2017-08-31 18:02
274;685;0,61;1;2017-08-31 19:10
275;119;0,82;3;2017-08-31 19:42
276;662;2,5;1;2017-08-31 19:47
277;185;0,76;3;2017-08-31 20:40
278;225;0,37;2;2017-08-31 21:01
279;441;2,76;3;2017-08-31 21:37
280;467;3,15;2;2017-08-31 22:52
281;473;2,53;2;2017-08-31 23:18
282;640;0,68;2;2017-09-01 00:21
283;356;2,21;2;2017-09-01 01:31
284;512;2,31;2;2017-09-01 02:52
285;148;2,56;2;2017-09-01 03:35
286;343;3,38;1;2017-09-01 03:55
287;191;2,84;2;2017-09-01 04:22
288;604;1,75;3;2017-09-01 04:41
289;497;3,35;1;2017-09-01 05:43
290;530;0,43;2;2017-09-01 05:55
291;7;1,01;2;2017-09-01 06:13
292;112;3,37;3;2017-09-01 07:36
293;7;0,9;1;2017-09-01 08:27
294;649;1,25;1;2017-09-01 08:37
295;380;0,35;2;2017-09-01 08:41
296;658;1,27;2;2017-09-01 08:51
297;540;2,58;3;2017-09-01 10:19
298;307;1,89;2;2017-09-01 11:14
299;456;1,36;1;2017-09-01 11:54
300;312;0,56;2;2017-09-01 12:27
301;541;0,39;3;2017-09-01 13:58
302;337;0,54;2;2017-09-01 14:39
303;588;0,41;1;2017-09-01 14:49
304;595;0,71;2;2017-09-01 16:09
305;64;0,6;2;2017-09-01 17:23
306;569;1,77;1;2017-09-01 17:34
307;2;1,73;2;2017-09-01 18:53
308;614;0,11;2;2017-09-01 19:44
309;155;1,57;2;2017-09-01 21:11
310;484;0,01;3;2017-09-01 21:54
311;73;2,7;3;2017-09-01 22:43
312;445;1,26;2;2017-09-01 23:29
313;351;1,94;3;2017-09-02 00:01
314;227;2,71;3;2017-09-02 00:50
315;282;3,14;1;2017-09-02 01:01
316;347;0,61;1;2017-09-02 01:21
317;322;0,25;3;2017-09-02 02:05
318;180;2,19;3;2017-09-02 02:59
319;589;3,01;3;2017-09-02 03:25
320;205;0,17;3;2017-09-02 03:30
321;302;0,68;3;2017-09-02 04:40
322;144;2,97;3;2017-09-02 05:49
323;473;0,22;3;2017-09-02 06:10
324;660;0,96;2;2017-09-02 06:12
325;198;0,73;2;2017-09-02 07:10
326;202;0,51;2;2017-09-02 07:28
327;254;0,93;2;2017-09-02 07:53
328;9;1,57;3;2017-09-02 09:26
329;44;0,99;1;2017-09-02 10:49
330;56;2,67;2;2017-09-02 12:18
331;76;3;3;2017-09-02 13:29
332;645;3,24;2;2017-09-02 15:01
333;597;2,48;3;2017-09-02 15:05
334;508;1,18;2;2017-09-02 16:03
335;343;0,08;2;2017-09-02 16:53
336;73;0,25;1;2017-09-02 17:24
337;324;2,67;1;2017-09-02 18:40
338;629;2,31;2;2017-09-02 19:18
339;57;1,6;1;2017-09-02 20:09
340;58;3,04;3;2017-09-02 21:12
341;488;2,91;2;2017-09-02 21:30
342;304;1,43;3;2017-09-02 21:42
343;102;1,8;2;2017-09-02 22:24
344;478;0,17;1;2017-09-02 22:55
345;288;1,53;2;2017-09-02 23:45
346;536;2,88;1;2017-09-03 00:10
347;151;2,94;2;2017-09-03 00:22
348;621;1,46;1;2017-09-03 01:15
349;33;0,32;1;2017-09-03 01:55
350;512;0,59;3;2017-09-03 02:36
351;543;2,95;1;2017-09-03 03:17
352;128;2,42;3;2017-09-03 04:38
353;222;2,93;3;2017-09-03 05:26
354;474;0,5;1;2017-09-03 06:55
355;638;1,03;2;2017-09-03 07:09
356;608;1,16;1;2017-09-03 07:21
357;119;2,19;1;2017-09-03 07:53
358;171;0,32;2;2017-09-03 08:53
359;579;0,94;2;2017-09-03 10:09
360;684;1,57;1;2017-09-03 11:32
361;290;2,26;2;2017-09-03 12:50
362;69;2,63;2;2017-09-03 13:09
363;56;1,95;1;2017-09-03 14:24
364;585;2,46;2;2017-09-03 15:35
365;44;2,29;3;2017-09-03 15:54
366;654;2,53;3;2017-09-03 16:54
367;557;2,19;3;2017-09-03 17:43
368;621;0,89;1;2017-09-03 18:01
369;204;1,78;3;2017-09-03 18:55
370;2;0,59;2;2017-09-03 19:01
371;677;1,17;2;2017-09-03 20:23
372;440;1,4;2;2017-09-03 21:06
373;177;2,45;3;2017-09-03 21:42
374;130;0,83;2;2017-09-03 21:44
375;573;1,08;1;2017-09-03 22:35
376;44;3,16;3;2017-09-03 22:52
377;396;1,63;3;2017-09-03 23:20
378;673;2,73;1;2017-09-04 00:29
379;165;3,1;1;2017-09-04 01:38
380;448;1,51;3;2017-09-04 03:05
381;563;2,43;1;2017-09-04 03:18
382;377;2,94;2;2017-09-04 03:25
383;107;3,1;2;2017-09-04 04:39
384;669;2,03;2;2017-09-04 04:51
385;437;0,83;3;2017-09-04 06:09
386;652;1,91;2;2017-09-04 07:26
387;605;1,04;3;2017-09-04 08:18
388;58;2,99;1;2017-09-04 09:24
389;116;2,64;1;2017-09-04 10:01
390;12;2,65;1;2017-09-04 10:07
391;529;0,26;1;2017-09-04 11:38
392;215;2,69;3;2017-09-04 12:20
393;356;0,05;1;2017-09-04 13:07
394;509;1,57;3;2017-09-04 14:18
395;16;2,14;3;2017-09-04 14:26
396;262;3,1;3;2017-09-04 14:33
397;423;0,94;1;2017-09-04 14:47
398;358;3,11;3;2017-09-04 15:52
399;15;0,79;2;2017-09-04 16:30
400;456;2,85;1;2017-09-04 17:27
401;101;0,43;2;2017-09-04 17:44
402;587;2,01;2;2017-09-04 18:23
403;561;2,97;3;2017-09-04 19:26
404;223;3,36;3;2017-09-04 19:29
405;237;0,59;2;2017-09-04 19:58
406;169;1,07;1;2017-09-04 21:06
407;455;1,41;2;2017-09-04 21:30
408;120;0,32;1;2017-09-04 22:07
409;386;0,43;3;2017-09-04 22:58
410;54;3,03;1;2017-09-04 23:55
411;489;3,06;2;2017-09-05 00:27
412;593;2,34;3;2017-09-05 00:49
413;676;0,75;1;2017-09-05 02:00
414;213;2,26;1;2017-09-05 02:01
415;366;2,74;2;2017-09-05 02:59
416;175;2,59;3;2017-09-05 04:15
417;242;3,28;1;2017-09-05 04:48
418;585;3,4;2;2017-09-05 06:14
419;203;3,11;1;2017-09-05 07:28
420;491;2,73;3;2017-09-05 08:52
421;539;3,28;3;2017-09-05 09:12
422;665;1,72;3;2017-09-05 09:46
423;147;3,08;1;2017-09-05 10:25
424;660;1,27;3;2017-09-05 10:55
425;296;2,4;1;2017-09-05 12:00
426;84;0,08;1;2017-09-05 12:29
427;534;0,33;1;2017-09-05 13:33
428;231;3,17;1;2017-09-05 13:35
429;379;1,54;2;2017-09-05 14:56
430;443;2,49;3;2017-09-05 15:54
431;114;2,01;1;2017-09-05 16:18
432;352;1,54;1;2017-09-05 16:40
433;508;0,23;3;2017-09-05 17:24
434;387;1,54;2;2017-09-05 17:48
435;456;0,86;3;2017-09-05 19:02
436;236;1,51;1;2017-09-05 20:17
437;299;2,79;2;2017-09-05 21:07
438;312;0,7;1;2017-09-05 22:05
439;27;1,43;2;2017-09-05 22:45
440;381;3,41;3;2017-09-05 23:13
441;193;0,07;1;2017-09-05 23:32
442;421;2,63;3;2017-09-05 23:47
443;486;2,72;3;2017-09-06 00:36
444;605;2,94;2;2017-09-06 02:02
445;141;1,08;2;2017-09-06 03:05
446;185;1,08;1;2017-09-06 04:17
447;411;2,68;2;2017-09-06 05:00
448;124;2,05;2;2017-09-06 05:46
449;476;1,04;1;2017-09-06 06:58
450;230;3,41;3;2017-09-06 08:15
451;602;1,37;2;2017-09-06 09:07
452;627;1,29;1;2017-09-06 09:14
453;469;2,22;3;2017-09-06 10:37
454;27;1,32;1;2017-09-06 11:42
455;545;2,3;1;2017-09-06 12:04
456;354;0,95;3;2017-09-06 13:10
457;88;2,64;3;2017-09-06 14:27
458;541;2,78;3;2017-09-06 15:00
459;46;0,34;1;2017-09-06 15:37
460;133;3,09;3;2017-09-06 15:45
461;401;2,74;3;2017-09-06 16:35
462;665;1,36;1;2017-09-06 17:30
463;55;1,19;3;2017-09-06 17:42
464;6;1,05;2;2017-09-06 18:46
465;195;0,08;2;2017-09-06 19:19
466;294;3;3;2017-09-06 20:30
467;449;1,4;1;2017-09-06 21:09
468;446;0,48;3;2017-09-06 21:55
469;200;3,03;3;2017-09-06 23:29
470;432;0,2;3;2017-09-06 23:47
471;73;1,31;3;2017-09-07 00:03
472;186;3,26;2;2017-09-07 00:06
473;441;0,52;2;2017-09-07 00:40
474;537;2,2;3;2017-09-07 00:49
475;625;0,85;2;2017-09-07 01:54
476;12;0,19;1;2017-09-07 02:02
477;53;0,22;3;2017-09-07 02:18
478;420;0,1;2;2017-09-07 02:42
479;506;3,16;2;2017-09-07 03:30
480;56;1,47;2;2017-09-07 05:01
481;623;2,05;2;2017-09-07 06:20
482;40;1,47;1;2017-09-07 06:44
483;502;2,4;2;2017-09-07 06:44
484;613;2,87;1;2017-09-07 07:24
485;18;0,83;1;2017-09-07 08:09
486;662;2,88;3;2017-09-07 09:14
487;35;3,15;2;2017-09-07 09:36
488;664;0,71;1;2017-09-07 10:41
489;66;3,39;2;2017-09-07 11:56
490;516;0,71;1;2017-09-07 13:14
491;233;2,11;3;2017-09-07 14:31
492;512;2,87;1;2017-09-07 14:38
493;58;0,54;1;2017-09-07 15:58
494;26;0,86;3;2017-09-07 16:47
495;120;0,07;2;2017-09-07 17:52
496;604;2,03;1;2017-09-07 18:23
497;259;2,5;3;2017-09-07 18:38
498;498;0,88;1;2017-09-07 19:47
499;687;2,81;3;2017-09-07 20:10
500;581;2,26;2;2017-09-07 21:29
501;456;3;1;2017-09-07 22:23
502;222;1,12;3;2017-09-07 23:24
503;112;2,67;2;2017-09-08 00:39
504;39;1,05;1;2017-09-08 02:05
505;66;1,32;3;2017-09-08 03:05
506;529;2,83;2;2017-09-08 03:41
507;584;1,07;1;2017-09-08 04:34
508;371;2,22;1;2017-09-08 04:44
509;658;0,18;1;2017-09-08 05:59
510;6;0,02;2;2017-09-08 06:22
511;429;1,35;3;2017-09-08 06:25
512;110;2,45;3;2017-09-08 06:47
513;420;2,26;1;2017-09-08 07:20
514;7;0,43;3;2017-09-08 07:42
515;420;3,05;2;2017-09-08 08:18
516;195;3,1;1;2017-09-08 08:23
517;148;0,21;2;2017-09-08 08:45
518;458;1,12;2;2017-09-08 10:10
519;313;1,68;3;2017-09-08 11:42
520;69;0,77;2;2017-09-08 12:59
521;40;0,37;3;2017-09-08 13:03
522;100;3,25;2;2017-09-08 14:35
523;365;0,69;2;2017-09-08 15:10
524;672;3,14;3;2017-09-08 15:20
525;499;2,6;2;2017-09-08 15:35
526;610;0,31;2;2017-09-08 16:45
527;139;2,82;3;2017-09-08 17:10
528;370;2,19;1;2017-09-08 18:02
529;480;0,98;2;2017-09-08 18:05
530;283;1,13;2;2017-09-08 18:48
531;242;2,96;1;2017-09-08 19:36
532;554;3;1;2017-09-08 20:58
533;487;1,26;1;2017-09-08 22:29
534;439;2,4;3;2017-09-08 23:28
535;243;0,71;2;2017-09-08 23:41
536;248;2,95;1;2017-09-09 00:06
537;276;0,54;2;2017-09-09 00:10
538;460;0,23;3;2017-09-09 00:28
539;682;2,55;3;2017-09-09 01:52
540;22;2,47;2;2017-09-09 02:53
541;223;0,35;1;2017-09-09 03:24
542;519;2,09;1;2017-09-09 03:44
543;140;0,84;3;2017-09-09 05:08
544;342;3,16;2;2017-09-09 06:07
545;283;2,23;3;2017-09-09 07:09
546;610;2,5;1;2017-09-09 07:48
547;307;1,14;2;2017-09-09 07:56
548;236;0,2;2;2017-09-09 09:28
549;428;1,1;1;2017-09-09 10:05
550;650;0,43;2;2017-09-09 11:24
551;492;1,45;3;2017-09-09 11:38
552;468;0,7;3;2017-09-09 12:20
553;146;3,2;3;2017-09-09 12:37
554;99;2,08;3;2017-09-09 13:22
555;541;1,9;3;2017-09-09 13:35
556;151;1,2;2;2017-09-09 13:40
557;86;1,48;1;2017-09-09 15:03
558;377;0,04;1;2017-09-09 15:26
559;56;1,75;1;2017-09-09 16:56
560;504;2,83;2;2017-09-09 18:18
561;357;1,64;3;2017-09-09 19:20
562;623;2,93;2;2017-09-09 20:36
563;294;1,18;1;2017-09-09 20:55
564;419;1,53;2;2017-09-09 21:13
565;167;2,28;1;2017-09-09 22:20
566;162;0,05;2;2017-09-09 23:03
567;168;0,5;1;2017-09-09 23:34
568;544;1,96;1;2017-09-10 01:00
569;15;3,01;1;2017-09-10 01:54
570;84;1,54;2;2017-09-10 03:07
571;300;2,32;3;2017-09-10 03:38
572;387;1,16;1;2017-09-10 04:11
573;645;2,46;2;2017-09-10 04:49
574;627;2,32;1;2017-09-10 05:15
575;361;1,96;3;2017-09-10 05:48
576;579;1,75;3;2017-09-10 07:21
577;546;1,24;2;2017-09-10 07:54
578;43;2,67;2;2017-09-10 08:37
579;8;1,2;2;2017-09-10 08:49
580;539;1,82;1;2017-09-10 09:40
581;172;2,78;2;2017-09-10 10:04
582;520;1,59;2;2017-09-10 10:34
583;89;2,25;2;2017-09-10 10:44
584;229;0,87;1;2017-09-10 11:15
585;115;3,13;2;2017-09-10 11:15
586;139;2,37;3;2017-09-10 11:20
587;392;3,39;2;2017-09-10 12:48
588;463;1,16;2;2017-09-10 12:49
589;262;3,13;1;2017-09-10 13:20
590;672;3,04;1;2017-09-10 14:21
591;553;2,67;3;2017-09-10 15:47
592;316;0,53;1;2017-09-10 16:03
593;327;2,77;3;2017-09-10 16:20
594;185;3,01;2;2017-09-10 16:32
595;581;0,42;3;2017-09-10 17:01
596;135;2,25;1;2017-09-10 17:36
597;305;2,9;2;2017-09-10 18:40
598;473;0,54;3;2017-09-10 19:37
599;263;1,54;1;2017-09-10 20:48
600;648;2,45;3;2017-09-10 21:19
601;332;3,32;1;2017-09-10 21:53
602;284;1,66;3;2017-09-10 22:17
603;678;1,48;1;2017-09-10 23:48
604;560;0,1;2;2017-09-10 23:52
605;577;0,48;2;2017-09-11 00:33
606;325;2,83;3;2017-09-11 01:01
607;676;1,62;2;2017-09-11 01:55
608;310;0,75;2;2017-09-11 03:23
609;348;1,9;2;2017-09-11 04:08
610;383;2,58;3;2017-09-11 05:20
611;255;3,27;2;2017-09-11 05:46
612;215;0,03;2;2017-09-11 06:35
613;178;2,92;3;2017-09-11 07:32
614;562;3,38;1;2017-09-11 08:59
615;399;1,5;3;2017-09-11 10:03
616;547;0,19;3;2017-09-11 10:35
617;623;3,37;3;2017-09-11 10:53
618;142;0,65;2;2017-09-11 11:49
619;238;2,8;1;2017-09-11 11:54
620;139;0,85;1;2017-09-11 12:21
621;655;1,18;2;2017-09-11 12:51
622;592;1,15;1;2017-09-11 14:17
623;265;3,32;1;2017-09-11 14:23
624;514;2,69;1;2017-09-11 14:25
625;607;1,64;1;2017-09-11 15:31
626;627;2,88;1;2017-09-11 16:01
